,match_id,First Innings,Second Innings,First Innings Score,Second Innings Score,Winner,Batting wins,Bowling wins
361,362,Royal Challengers Bangalore,Pune Warriors,173,138.0,Royal Challengers Bangalore,1,0
362,363,Mumbai Indians,Kolkata Knight Riders,182,155.0,Mumbai Indians,1,0
363,364,Delhi Daredevils,Chennai Super Kings,114,115.0,Chennai Super Kings,0,1
364,365,Rajasthan Royals,Pune Warriors,170,125.0,Rajasthan Royals,1,0
365,366,Deccan Chargers,Kings XI Punjab,190,194.0,Kings XI Punjab,0,1
366,367,Royal Challengers Bangalore,Mumbai Indians,171,173.0,Mumbai Indians,0,1
367,368,Kolkata Knight Riders,Chennai Super Kings,158,160.0,Chennai Super Kings,0,1
368,369,Kings XI Punjab,Delhi Daredevils,136,140.0,Delhi Daredevils,0,1
369,370,Kolkata Knight Riders,Mumbai Indians,140,108.0,Kolkata Knight Riders,1,0
370,371,Chennai Super Kings,Kings XI Punjab,120,123.0,Kings XI Punjab,0,1
371,372,Royal Challengers Bangalore,Delhi Daredevils,215,194.0,Royal Challengers Bangalore,1,0
372,373,Rajasthan Royals,Deccan Chargers,126,128.0,Deccan Chargers,0,1
373,374,Kings XI Punjab,Delhi Daredevils,141,145.0,Delhi Daredevils,0,1
374,375,Kolkata Knight Riders,Pune Warriors,136,102.0,Kolkata Knight Riders,1,0
375,376,Deccan Chargers,Royal Challengers Bangalore,132,123.0,Deccan Chargers,1,0
376,377,Rajasthan Royals,Mumbai Indians,162,163.0,Mumbai Indians,0,1
377,378,Kolkata Knight Riders,Delhi Daredevils,162,144.0,Kolkata Knight Riders,1,0
378,379,Chennai Super Kings,Mumbai Indians,187,149.0,Chennai Super Kings,1,0
379,380,Chennai Super Kings,Delhi Daredevils,222,136.0,Chennai Super Kings,1,0
380,381,Chennai Super Kings,Kolkata Knight Riders,190,192.0,Kolkata Knight Riders,0,1
381,382,Delhi Daredevils,Kolkata Knight Riders,128,129.0,Kolkata Knight Riders,0,1
382,383,Royal Challengers Bangalore,Mumbai Indians,156,154.0,Royal Challengers Bangalore,1,0
383,384,Sunrisers Hyderabad,Pune Warriors,126,104.0,Sunrisers Hyderabad,1,0
384,385,Rajasthan Royals,Delhi Daredevils,165,160.0,Rajasthan Royals,1,0
385,386,Mumbai Indians,Chennai Super Kings,148,139.0,Mumbai Indians,1,0
386,387,Pune Warriors,Kings XI Punjab,99,100.0,Kings XI Punjab,0,1
387,388,Royal Challengers Bangalore,Sunrisers Hyderabad,130,130.0,T,0,0
388,389,Rajasthan Royals,Kolkata Knight Riders,144,125.0,Rajasthan Royals,1,0
389,390,Mumbai Indians,Delhi Daredevils,209,165.0,Mumbai Indians,1,0
390,391,Kings XI Punjab,Chennai Super Kings,138,139.0,Chennai Super Kings,0,1
391,392,Kolkata Knight Riders,Royal Challengers Bangalore,154,158.0,Royal Challengers Bangalore,0,1
392,393,Rajasthan Royals,Pune Warriors,145,148.0,Pune Warriors,0,1
393,394,Delhi Daredevils,Sunrisers Hyderabad,114,115.0,Sunrisers Hyderabad,0,1
394,395,Mumbai Indians,Pune Warriors,183,142.0,Mumbai Indians,1,0
395,396,Royal Challengers Bangalore,Chennai Super Kings,165,166.0,Chennai Super Kings,0,1
396,397,Kolkata Knight Riders,Sunrisers Hyderabad,180,132.0,Kolkata Knight Riders,1,0
397,398,Kings XI Punjab,Rajasthan Royals,124,126.0,Rajasthan Royals,0,1
398,399,Pune Warriors,Chennai Super Kings,159,135.0,Pune Warriors,1,0
